gene_id,symbol,desc,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj,Dharia_sig,PTT1_sig
Os10g0481300,GSTU47,"Similar to Glutathione S-transferase, N-terminal domain containing protein, expressed.",1.97340079124426,3.91699411204527e-05,2.7552588148621,3.6214924431740996e-19,True,True
Os10g0527400,GSTU19,Similar to Tau class GST protein 3.,1.87092361246949,5.33309970304689e-05,0.966714385896148,0.0015496655766402,True,True
Os09g0367700,GSTU5,"Tau class glutathione S-transferase, Tolerance against sheath blight disease",1.63052338929615,5.05217787041515e-07,1.56219186017132,1.0888205784645999e-12,True,True
Os10g0529500,GSTU30,"Tau class glutathione S-transferase, Heavy metal and drought stress tolerance",1.49652209222641,0.0109076609606575,2.28078180899828,2.7884332838495398e-11,False,True
Os10g0528400,GSTU3,Tau class glutathione S-transferase 3,1.39129117008354,0.0018294712914297,0.822688589468888,0.0035227497198254,True,True
Os01g0949700,GSTU7,"Glutathione S-transferase, C-terminal domain containing protein.",1.36290053826548,0.0319034737946545,1.61635929389748,4.64323708791566e-06,False,True
Os10g0528300,GSTU4,Tau class glutathione S-transferase 4,1.1289236796199,0.0049761842636992,0.364596615876707,0.165199862320157,True,False
Os10g0528100,GSTU24,Similar to Glutathione S-transferase GST 42 (EC 2.5.1.18) (Fragment).,1.0768121297924,0.0069744994646703,2.87737485335932,7.01049249673978e-36,True,True
Os01g0692100,GSTU39,"Glutathione S-transferase, C-terminal-like domain containing protein.",1.05105254380165,0.0444998126529019,0.448295846046246,0.13391559521174,False,False
Os09g0467200,GSTU17,"Tau class glutathione transferase, Response to abiotic stresses",0.97017832475325,0.0020016247778386,1.39818313577625,3.04792836897404e-13,True,True
Os10g0531400,GSTU10,Glutathione S-transferase GST 30 (EC 2.5.1.18).,0.844086132453073,0.0003412604575389,1.58546943102549,8.2879480584419e-27,True,True
Os10g0528200,,Similar to Glutathione S-transferase TSI-1 (EC 2.5.1.18) (Glutathione S- transferase 1).,0.783229435415699,0.0148556258544632,1.20167941414383,7.341124267302819e-11,False,True
Os10g0525400,GSTU15,Similar to Glutathione S-transferase GSTU31 (Fragment).,0.778075099775564,0.690298596878723,-1.29211117961647,0.0447175555789604,False,False
Os03g0643700,GSTU44,Similar to GST6 protein (EC 2.5.1.18).,0.715494765219588,0.317698154376626,0.432289061601002,0.207304753380051,False,False
Os10g0365200,GSTU33,Thioredoxin fold domain containing protein.,0.68932855829285,0.151829996082683,-0.34516374816642,0.182756276081556,False,False
Os01g0692000,GSTU40,Similar to Glutathione S-transferase GSTU6.,0.684065673909198,0.456169085460915,1.50112760240169,2.54377144579505e-05,False,True
Os01g0558100,GSTU6,Similar to Glutathione S-transferase TSI-1 (EC 2.5.1.18) (Glutathione S- transferase 1).,0.597036818249449,0.747910453455683,2.47840541655053,6.57722646746189e-07,False,True
Os10g0525800,GSTU31,Similar to Glutathione S-transferase GSTU31 (Fragment).,0.537046088710195,0.0562833713078482,0.79166928784396,1.8611186275305e-07,False,True
Os10g0529400,GSTU9,Similar to Glutathione S-transferase GSTU6.,0.3161894185632,0.444151403522451,-0.163136426395423,0.376935006442118,False,False
Os02g0813500,GR2,"Glutathione reductase, Abiotic stress tolerance",0.0229559389728721,0.97786484408824,0.12665230799026,0.171837465464011,False,False
Os12g0123200,GSTU52,Glutathione S-transferase GST 7 (EC 2.5.1.18).,0.0175001180597574,1.0,-0.166492966634343,0.715359657432168,False,False
Os03g0785900,GSTU1,"Tau glutathione S-transferase 1, Metolachlor metabolism",-0.0909183592779801,0.932670175543528,-0.884982106591178,3.05982390026118e-06,False,True
Os03g0163300,GR1,Similar to Glutathione reductase (Fragment).,-0.10262493723325,0.924571973328694,-0.0689056465723014,0.783868616383309,False,False
Os01g0667200,GLYII-1,"Mitochondrial sulfur dioxygenase, Abiotic stress response",-0.118211733988697,0.843778734404103,-0.955358988994026,1.76583833834858e-11,False,True
Os10g0530400,GSTU23,Similar to Glutathione-S-transferase Cla47.,-0.140634701338278,0.93385973011815,1.2885702064684,8.45601677603486e-07,False,True
Os10g0530600,GSTU48,Similar to Glutathione S-transferase GST 20 (EC 2.5.1.18).,-0.190751194314838,0.971971094762088,-1.73059050861915,0.0063645813341484,False,True
Os05g0412800,GSTU16,Similar to Glutathione S-transferase GST 41 (EC 2.5.1.18).,-0.211496000701004,0.941140922871224,-1.63757115609275,0.000664368933804,False,True
Os07g0168300,GSTU11,Similar to Glutathione S-transferase GSTU6.,-0.239420895213838,0.82231814940467,-0.0072909953678607,1.0,False,False
Os10g0530900,GSTU50,"Tau-class glutathione S-transferase, Dimethylarsenate reduction, Contribution to arsenic toxicity and straighthead disease",-0.273705162160714,0.561643707882391,0.0122876411328363,0.972496348920183,False,False
Os10g0529300,GSTU18,Similar to Tau class GST protein 3.,-0.412704220102976,0.737133321709774,-2.16446531768964,1.0126530297027e-09,False,True
Os10g0395400,GSTU34,"Glutathione-s-transferase, Anthocyanin transportation",-0.64309594448567,,1.62411672458126,0.611211436159678,False,False
Os07g0468100,GSTU46,Similar to Glutathione S-transferase GST 19 (EC 2.5.1.18).,-0.937048417588948,0.480650678175467,-0.503496366217435,0.378100873109132,False,False
Os01g0950000,GSTU41,Similar to Glutathione S-transferase GST 28 (EC 2.5.1.18) (Fragment).,-1.18903877849886,0.725532409612252,2.16327054448869,0.0394043151655527,False,False
Os10g0530200,GSTU26,"Glutathione S-transferase, Mediation of heterosis for salinity tolerance",-1.92158870982291,0.0178129951989554,-1.78502021052527,0.0001551471741516,False,True
Os07g0152700,GSTU45,Similar to Glutathione transferase.,,,,,False,False
Os10g0368100,,Similar to Glutathione S-transferase GSTU35 (Fragment).,,,,,False,False
Os10g0530300,GSTU28,Similar to Glutathione S-transferase GST 42 (Fragment).,,,,,False,False
